portfolio,window_end,forward_start,forward_end,forward_months,posterior_alpha,performance_rank,quintile,forward_alpha_monthly,forward_alpha_annualized_bps
BIG LoBM,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.002003579069968925,4,5,0.002203625383988753,264.4350460786504
ME3 BM4,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.0019661004355834366,5,5,-0.000713139304176603,-85.57671650119235
ME3 BM2,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.0018216713653014343,6,4,0.0016611643128963637,199.33971754756362
ME3 BM5,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.0014634665998717806,7,4,-4.593330537441495e-06,-0.5511996644929793
ME3 BM1,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.0013441451784089197,8,4,-0.00198342063934438,-238.0104767213256
ME4 BM5,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.00104208519874896,9,4,-0.00943552386663997,-1132.2628639967963
ME1 BM4,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.0009022941112606633,10,4,0.0017800864390440582,213.610372685287
ME5 BM2,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.0008211826561781634,11,3,0.0015732835333424587,188.79402400109504
ME4 BM4,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.00036744388976003633,12,3,-0.0016365809462840343,-196.38971355408412
ME2 BM2,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.00025889306386459634,13,3,0.00043060229948838156,51.672275938605786
ME2 BM5,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,7.685659134808523e-05,14,3,0.000901074679969456,108.12896159633472
ME3 BM3,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-6.508595494499239e-05,15,3,0.0018805089086229604,225.66106903475526
ME4 BM2,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-6.681133810845464e-05,16,2,0.005065146504626397,607.8175805551676
SMALL HiBM,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-0.00012556307455746364,17,2,0.00324823596668034,389.7883160016408
ME4 BM3,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-0.0005843208640456895,18,2,0.002477537045004453,297.30444540053435
BIG HiBM,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-0.0005969313738211301,19,2,-0.0030318042458041144,-363.8165094964937
ME1 BM3,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-0.0006846186227966562,20,2,-0.0002506438351542923,-30.07726021851507
ME1 BM2,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-0.0008934995115709627,21,1,-0.002635248683853526,-316.22984206242313
ME5 BM4,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-0.001385675258584826,22,1,-0.003920846532625502,-470.5015839150603
ME5 BM3,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-0.001575628247118655,23,1,0.0031410774547720546,376.92929457264654
ME2 BM1,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-0.002232436803279004,24,1,-0.006821546954005453,-818.5856344806544
SMALL LoBM,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,-0.0033452767431663946,25,1,-0.01746612456803765,-2095.934948164518
ME2 BM3,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.002790870356835391,1,5,-0.00016627608121596283,-19.95312974591554
BIG LoBM,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.0017542465539202162,2,5,0.002972124934874256,356.6549921849108
ME4 BM1,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.001742371508153761,3,5,-7.311952505054439e-05,-8.774343006065326
ME2 BM4,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.0016511853067703967,4,5,0.0009310611585366084,111.727339024393
ME3 BM2,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.0015927141467048506,5,5,-0.00729225916703567,-875.0711000442805
ME3 BM4,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.0015780056673992445,6,4,-0.0005741966156029638,-68.90359387235566
ME3 BM5,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.0012480452242640218,7,4,-0.0015168726261959743,-182.02471514351691
ME1 BM4,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.0009459294468812186,8,4,0.0017897117494314538,214.76540993177446
ME3 BM1,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.00078851777364676,9,4,0.004615319145555945,553.8382974667134
ME5 BM2,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.0005258531486888531,10,4,-0.004058624748371526,-487.0349698045831
ME4 BM5,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.0004266444424378205,11,3,-0.00013697229024518982,-16.436674829422778
ME4 BM4,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.0003141551427997226,12,3,-0.003103152826294673,-372.3783391553608
ME4 BM2,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.00012105303700430032,13,3,-0.0009144386529770639,-109.73263835724767
SMALL HiBM,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,0.00011673105619142847,14,3,0.003494697896341628,419.36374756099536
ME3 BM3,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,7.259364132979328e-05,15,3,-0.005374461761678881,-644.9354114014658
ME2 BM2,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,6.39548817751946e-05,16,2,-0.0015182923199507099,-182.1950783940852
ME2 BM5,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,-0.00012635918523950233,17,2,-0.0023804010918251034,-285.6481310190124
ME4 BM3,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,-0.00034907991792451165,18,2,-0.004506239561552264,-540.7487473862717
ME1 BM3,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,-0.0003696238007170235,19,2,0.0023631237035333396,283.5748444240008
BIG HiBM,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,-0.0006670827947318757,20,2,0.0040713209153667535,488.5585098440104
