portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,sensitivity_model,common_sample_start,common_sample_end,coef_rmw,hac_se_rmw,hac_t_rmw,p_value_rmw,coef_cma,hac_se_cma,hac_t_cma,p_value_cma
ME2 BM1,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.001887908888163747,0.0006494882334074543,-2.906763804263369,0.0036518882749280706,12,0.9417777198934608,0.017312038851633627,-0.001887908888163747,0.0006494882334074543,-2.906763804263369,0.0036518882749280706,1.1216970755842852,0.021558615236701793,52.03010783710667,0.0,1.0478363181090402,0.032326694248018074,32.41396444900277,1.7448970032495786e-230,-0.3423246910295066,0.035225936528481196,-9.717972742973833,2.5276357447310623e-22,5.742738144863326e-05,0.0006831291107114308,0.681369253454336,-0.00024291511689048095,0.00045501733571210677,-0.0011347490948862102,0.0006489188611052484,0.296719532138483,-29.149814026857715,29.149814026857715,0.02282430171830044,21,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME3 BM1,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.0012238455384559856,0.0005167521134697928,-2.36834162174651,0.017868028706579584,12,0.9417508503923901,0.015760478572085405,-0.0012238455384559856,0.0005167521134697928,-2.36834162174651,0.017868028706579584,1.1039311989219422,0.01837118198201014,60.09037415246116,0.0,0.7518984202234917,0.025548100678232325,29.430697400692868,2.223788142105187e-190,-0.3682245488735073,0.029154299763452234,-12.630196981616852,1.4391751915538757e-36,5.742738144863326e-05,0.0006831291107114308,0.7129179536994196,-0.0004573522983159424,0.00038579026960402905,-0.0012135012267398392,0.0002987966301079545,0.11791096554151875,-54.88227579791309,54.88227579791309,0.07445011961074827,22,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME4 BM2,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.00066717898811133,0.0007171415324502088,-0.9303309847804028,0.3521997398244785,12,0.8979555130102219,0.016442701544723236,-0.00066717898811133,0.0007171415324502088,-0.9303309847804028,0.3521997398244785,1.0564850039149607,0.02169130124201408,48.70546917068513,0.0,0.2318353154218511,0.058110110206564584,3.989586572762361,6.618855870334506e-05,0.18278896992341634,0.06408074107651797,2.8524790265011206,0.00433796749571936,5.742738144863326e-05,0.0006831291107114308,0.6502362553164717,-0.0005386161071248846,0.00047719256979473693,-0.001473913543922569,0.00039668132967279977,0.1295082899928175,-64.63393285498616,64.63393285498616,0.7630312404139892,23,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME5 BM4,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.002178100935106401,0.0007481262563903079,-2.9114082235473036,0.0035980359131884314,12,0.8946468445889628,0.01540467100591245,-0.002178100935106401,0.0007481262563903079,-2.9114082235473036,0.0035980359131884314,1.0242425138958604,0.02891908111713536,35.41753314177635,9.173140490265566e-275,-0.20171226167646134,0.031661471724256006,-6.370906047362562,1.8791473582416389e-10,0.6664090636556363,0.045440173410588335,14.665636454203137,1.0700904051850067e-48,5.742738144863326e-05,0.0006831291107114308,0.5799521730314077,-0.000759263509768858,0.000462981261043796,-0.0016667067814146981,0.0001481797618769821,0.05050836769896187,-91.11162117226297,91.11162117226297,0.02282430171830044,24,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
SMALL LoBM,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.004802339179319779,0.001016041511201417,-4.726518677018677,2.2840179288971065e-06,12,0.9036650905124204,0.024744769933797768,-0.004802339179319779,0.001016041511201417,-4.726518677018677,2.2840179288971065e-06,1.0991686437357278,0.028475916230601576,38.59993950096358,0.0,1.4042361584904268,0.045828660980186876,30.641003434456024,3.482640212404199e-206,-0.2602867100159112,0.038253918614481824,-6.804184236366681,1.0162342003008281e-11,5.742738144863326e-05,0.0006831291107114308,0.453694421512184,-0.0015540802479504577,0.0005413201380479348,-0.0026150677185244097,-0.0004930927773765055,0.002046473934537954,-186.4896297540549,186.4896297540549,5.710044822242766e-05,25,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
SMALL HiBM,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0015302776092071236,0.0006137305271290013,2.493403116781042,0.012652510812624723,12,0.90616500873063,0.01924090476152139,0.0015302776092071236,0.0006137305271290013,2.493403116781042,0.012652510812624723,0.9618966452825994,0.024060272701719204,39.9786260616185,0.0,1.0858650993370769,0.04116491832568181,26.378410148809444,2.4241694792073374e-153,0.41122828203909323,0.06181752032501089,6.652293393151738,2.8856073870465726e-11,0.00011027698872524444,0.0005872213825458055,0.5632977630444862,0.0011010581152282907,0.0003897107779577845,0.0003372249904310331,0.0018648912400255483,0.9976383377970744,132.1269738273949,0.0,0.06326255406312362,1,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,-0.0034149987617967856,0.04613158711407305,-0.07402734168569274,0.9409886294244917,0.24838941141015788,0.1362972694344133,1.822409300207468,0.0683929044843949
ME4 BM1,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0011679513116167825,0.0008102693619776757,1.4414358563010328,0.14946158652363922,12,0.931006109059976,0.015232094225108501,0.0011679513116167825,0.0008102693619776757,1.4414358563010328,0.14946158652363922,1.0445848102300321,0.017342319608961793,60.233281001823656,0.0,0.3802891258242817,0.028289451361229855,13.442789008819753,3.3939934497673e-41,-0.3793972536821344,0.034370540884637105,-11.038442919928467,2.4931604310658857e-28,0.00011027698872524444,0.0005872213825458055,0.4761395350612288,0.0005816298302955265,0.00043955805285814364,-0.00027990395330643495,0.0014431636138974879,0.9071180635405671,69.79557963546318,0.0,0.3030877490835095,2,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,-0.12657473523107732,0.049763817968889554,-2.5435093286091317,0.010974512647825289,-0.09608827535126517,0.05168989674456832,-1.8589372663307229,0.06303603103052104
ME1 BM4,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.001512533649854516,0.000576839877502228,2.6221031326820397,0.008738898161453727,12,0.9518657465594268,0.01283765738179996,0.001512533649854516,0.000576839877502228,2.6221031326820397,0.008738898161453727,0.8808192150788916,0.01568915876208132,56.1419020889583,0.0,1.065106520755328,0.02430133181324758,43.82914191454717,0.0,0.29614815909047987,0.032150896615815154,9.211194407088586,3.2251593349806856e-20,0.00011027698872524444,0.0005872213825458055,0.6407824078302451,0.0005638178181172006,0.0003553361176558076,-0.00013264097248818227,0.0012602766087225835,0.9437116099331564,67.65813817406408,0.0,0.0546181135090858,3,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,-0.054772596697233875,0.04899765219715722,-1.1178616574696147,0.26362608307013513,0.0253904425170585,0.039442256360035725,0.6437370693321943,0.5197459476988513
ME4 BM4,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0003230525649592022,0.000609336329261106,0.5301711869878865,0.5959932461684627,12,0.8865259165923677,0.017025964657108678,0.0003230525649592022,0.000609336329261106,0.5301711869878865,0.5959932461684627,1.022956823279995,0.022051269940259254,46.38992792938293,0.0,0.2633079488577003,0.026154591283761932,10.067370046083456,7.700977263825472e-24,0.5204099813545895,0.06246587570659351,8.331108392668515,8.008896097699655e-17,0.00011027698872524444,0.0005872213825458055,0.5442410058917856,0.000533801939316441,0.00041520076084561016,-0.0002799915519409549,0.001347595430573837,0.900716994429726,64.05623271797292,0.0,0.8476368294349508,4,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,0.07672127284652096,0.05244435812289511,1.4629080342014429,0.1434925453085083,0.00903355752565764,0.07736389337522516,0.1167671006659875,0.9070446152290134
ME1 BM2,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0016072888456964243,0.0008337429790190278,1.9277989574047645,0.053880137463906554,12,0.9368778391707953,0.017443797148900958,0.0016072888456964243,0.0008337429790190278,1.9277989574047645,0.053880137463906554,0.9310523473372236,0.01766091496281705,52.71823964372419,0.0,1.217163805234385,0.04220183554428266,28.84148970148957,6.478590847273894e-183,-0.16985740777030287,0.0423800570928291,-4.0079560864735955,6.124650473086605e-05,0.00011027698872524444,0.0005872213825458055,0.45746772560142046,0.0004986762659157978,0.0004377241761027476,-0.00035926311924558744,0.001356615651077183,0.8727000746916957,59.841151909895736,0.0,0.19242906237109483,5,ff5_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,-0.4127425778596007,0.06433243918550043,-6.415776909522603,1.4010649300902757e-10,-0.012417069390021162,0.05044030408392239,-0.24617356329497317,0.8055478793706506
