date_t,date_t_plus_h,horizon_months,window_length_months,window_overlap_fraction,structural_inference_eligible,n_portfolios,spearman_rank_autocorrelation,pearson_score_autocorrelation,average_absolute_rank_change,top_quintile_stay_probability,bottom_quintile_stay_probability
1944-06-30 23:59:59.999999999,1949-06-30 23:59:59.999999999,60,120,0.5,False,25,0.3923076923076923,0.3645934155221836,6.48,0.4,0.0
1945-06-30 23:59:59.999999999,1950-06-30 23:59:59.999999999,60,120,0.5,False,25,0.3546153846153846,0.2571795750143986,6.08,0.4,0.6
1946-06-30 23:59:59.999999999,1951-06-30 23:59:59.999999999,60,120,0.5,False,25,0.37615384615384617,0.3749686379202571,6.64,0.4,0.4
1947-06-30 23:59:59.999999999,1952-06-30 23:59:59.999999999,60,120,0.5,False,25,0.4476923076923077,0.38774158520934654,5.92,0.4,0.4
1948-06-30 23:59:59.999999999,1953-06-30 23:59:59.999999999,60,120,0.5,False,25,0.3192307692307692,0.33417800751484805,6.96,0.4,0.0
1949-06-30 23:59:59.999999999,1954-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5707692307692307,0.5297665930693037,5.28,0.4,0.4
1950-06-30 23:59:59.999999999,1955-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5815384615384616,0.5940776716421183,5.2,0.8,0.4
1951-06-30 23:59:59.999999999,1956-06-30 23:59:59.999999999,60,120,0.5,False,25,0.42153846153846153,0.43526240460841215,6.16,0.6,0.4
1952-06-30 23:59:59.999999999,1957-06-30 23:59:59.999999999,60,120,0.5,False,25,0.3646153846153847,0.4105909738476484,6.24,0.6,0.0
1953-06-30 23:59:59.999999999,1958-06-30 23:59:59.999999999,60,120,0.5,False,25,0.4876923076923077,0.5713591777573824,5.04,0.6,0.4
1954-06-30 23:59:59.999999999,1959-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5661538461538461,0.5817884898381168,4.72,0.6,0.6
1955-06-30 23:59:59.999999999,1960-06-30 23:59:59.999999999,60,120,0.5,False,25,0.4876923076923077,0.575154217128562,5.68,0.4,0.4
1956-06-30 23:59:59.999999999,1961-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6876923076923077,0.6948018330465995,4.24,0.4,0.8
1957-06-30 23:59:59.999999999,1962-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5076923076923078,0.5666100401585961,5.84,0.6,0.2
